S.NO.,Invoice ID,City,Customer type,Gender,Product line,Quantity,Total,DATE,TIME,Payment,Rating,Month
215,239-10-7476,MUMBAI,Normal,Female,Home and lifestyle,6,491.085,21-01-2019,16:37,Ewallet,8,January
216,316-68-6352,MUMBAI,Member,Female,Food and beverages,2,76.356,21-01-2019,10:00,Cash,7.1,January
217,462-67-9126,MUMBAI,Normal,Male,Home and lifestyle,6,461.286,21-01-2019,17:44,Cash,7.2,January
218,269-10-8440,MUMBAI,Member,Male,Health and beauty,7,390.7995,21-01-2019,18:01,Cash,8.9,January
221,287-21-9091,MUMBAI,Normal,Male,Home and lifestyle,9,705.6315,22-01-2019,10:55,Ewallet,9.4,January
225,460-35-4390,MUMBAI,Normal,Male,Home and lifestyle,3,96.642,22-01-2019,11:00,Ewallet,9.1,January
232,604-70-6476,MUMBAI,Member,Male,Fashion accessories,5,94.185,23-01-2019,14:04,Ewallet,6.8,January
235,213-32-1216,MUMBAI,Normal,Female,Electronic accessories,6,416.178,23-01-2019,10:28,Cash,7.3,January
237,318-12-0304,MUMBAI,Normal,Male,Fashion accessories,1,32.1405,23-01-2019,12:20,Ewallet,5.2,January
238,828-46-6863,MUMBAI,Member,Male,Food and beverages,6,620.739,23-01-2019,11:22,Credit card,4,January
241,160-22-2687,MUMBAI,Member,Female,Health and beauty,5,503.7375,23-01-2019,14:21,Ewallet,8.8,January
242,316-66-3011,MUMBAI,Member,Female,Food and beverages,9,450.1035,23-01-2019,12:35,Cash,5,January
243,809-46-1866,MUMBAI,Normal,Male,Health and beauty,4,244.23,23-01-2019,17:44,Cash,8.4,January
245,232-11-3025,MUMBAI,Normal,Male,Sports and travel,10,827.085,24-01-2019,10:04,Cash,6.4,January
247,726-27-2396,MUMBAI,Normal,Female,Health and beauty,5,406.875,24-01-2019,20:36,Ewallet,4.3,January
248,435-13-4908,MUMBAI,Member,Male,Fashion accessories,8,728.112,24-01-2019,18:04,Credit card,7.2,January
254,778-34-2523,MUMBAI,Member,Female,Electronic accessories,8,408.408,24-01-2019,10:57,Cash,5,January
255,237-44-6163,MUMBAI,Normal,Male,Electronic accessories,8,88.704,24-01-2019,17:43,Cash,7.6,January
263,888-02-0338,MUMBAI,Normal,Male,Electronic accessories,9,247.8735,25-01-2019,20:24,Ewallet,5.9,January
265,307-83-9164,MUMBAI,Member,Male,Home and lifestyle,4,252.042,25-01-2019,15:54,Cash,4.5,January
270,340-21-9136,MUMBAI,Member,Female,Sports and travel,4,168.21,25-01-2019,11:40,Cash,9.7,January
271,856-66-2701,MUMBAI,Member,Male,Home and lifestyle,3,167.895,25-01-2019,14:19,Ewallet,7.5,January
274,843-73-4724,MUMBAI,Normal,Male,Fashion accessories,1,77.805,25-01-2019,11:05,Cash,9.2,January
281,834-61-8124,MUMBAI,Normal,Male,Electronic accessories,7,379.9215,26-01-2019,18:22,Cash,5.5,January
287,308-39-1707,MUMBAI,Normal,Female,Fashion accessories,1,12.6945,26-01-2019,18:19,Credit card,8.2,January
288,896-34-0956,MUMBAI,Normal,Male,Fashion accessories,1,22.386,26-01-2019,12:43,Cash,5.9,January
292,123-19-1176,MUMBAI,Member,Male,Health and beauty,8,489.048,27-01-2019,20:33,Ewallet,8.4,January
293,870-54-3162,MUMBAI,Normal,Female,Sports and travel,5,169.3125,27-01-2019,13:26,Cash,9,January
294,633-91-1052,MUMBAI,Normal,Female,Home and lifestyle,2,25.263,27-01-2019,15:51,Cash,5.1,January
300,595-27-4851,MUMBAI,Normal,Female,Fashion accessories,7,398.958,27-01-2019,18:05,Ewallet,9.3,January
301,534-01-4457,MUMBAI,Normal,Male,Food and beverages,6,514.773,27-01-2019,14:36,Credit card,8,January
304,585-90-0249,MUMBAI,Member,Male,Electronic accessories,1,76.923,27-01-2019,18:08,Ewallet,9.7,January
313,726-29-6793,MUMBAI,Member,Male,Electronic accessories,8,203.112,28-01-2019,20:54,Ewallet,9.8,January
318,865-41-9075,MUMBAI,Normal,Male,Food and beverages,7,84.7455,28-01-2019,17:35,Cash,8.1,January
320,746-94-0204,MUMBAI,Normal,Male,Fashion accessories,9,786.618,29-01-2019,11:56,Credit card,7.4,January
324,575-67-1508,MUMBAI,Normal,Male,Electronic accessories,1,40.53,29-01-2019,11:26,Ewallet,6.7,January
327,816-72-8853,MUMBAI,Member,Female,Sports and travel,5,146.6325,29-01-2019,15:48,Cash,5.9,January
328,800-09-8606,MUMBAI,Member,Female,Home and lifestyle,5,458.6925,29-01-2019,19:45,Cash,6.6,January
330,569-76-2760,MUMBAI,Member,Female,Sports and travel,4,92.442,29-01-2019,18:15,Credit card,6.6,January
339,804-38-3935,MUMBAI,Member,Male,Electronic accessories,3,295.407,30-01-2019,11:32,Credit card,5.9,January
343,366-93-0948,MUMBAI,Member,Male,Electronic accessories,1,69.6675,31-01-2019,10:46,Credit card,9.7,January
348,187-83-5490,MUMBAI,Member,Male,Electronic accessories,4,87.234,31-01-2019,13:47,Cash,4.7,January
354,522-57-8364,MUMBAI,Member,Male,Fashion accessories,8,431.256,31-01-2019,10:00,Ewallet,7.6,January
357,105-31-1824,MUMBAI,Member,Male,Sports and travel,7,510.972,01-02-2019,15:10,Credit card,8.5,February
358,870-76-1733,MUMBAI,Member,Female,Food and beverages,5,74.7075,01-02-2019,10:08,Credit card,4.4,February
360,443-82-0585,MUMBAI,Member,Female,Health and beauty,4,326.256,01-02-2019,19:54,Cash,8.4,February
361,504-35-8843,MUMBAI,Normal,Male,Sports and travel,1,44.5935,01-02-2019,16:57,Cash,5.7,February
366,712-39-0363,MUMBAI,Member,Male,Food and beverages,6,262.458,01-02-2019,15:24,Ewallet,5.6,February
370,382-03-4532,MUMBAI,Member,Female,Health and beauty,1,19.2465,02-02-2019,18:50,Cash,4.3,February
371,642-32-2990,MUMBAI,Normal,Female,Food and beverages,10,115.08,02-02-2019,20:48,Ewallet,6,February
376,405-31-3305,MUMBAI,Member,Male,Fashion accessories,10,452.865,02-02-2019,18:31,Credit card,5.5,February
378,420-18-8989,MUMBAI,Member,Female,Sports and travel,8,432.768,02-02-2019,15:47,Cash,9.6,February
383,549-59-1358,MUMBAI,Member,Male,Sports and travel,3,279.1845,03-02-2019,17:36,Ewallet,6,February
393,860-73-6466,MUMBAI,Member,Female,Sports and travel,2,82.887,03-02-2019,16:16,Credit card,5,February
398,720-72-2436,MUMBAI,Normal,Male,Food and beverages,4,279.384,03-02-2019,18:14,Ewallet,6.9,February
403,430-60-3493,MUMBAI,Member,Female,Home and lifestyle,7,697.368,03-02-2019,14:38,Cash,4.2,February
404,566-71-1091,MUMBAI,Normal,Male,Fashion accessories,5,404.355,03-02-2019,15:59,Cash,5.5,February
409,443-59-0061,MUMBAI,Member,Male,Food and beverages,10,708.225,03-02-2019,11:25,Ewallet,4.2,February
410,742-04-5161,MUMBAI,Member,Male,Home and lifestyle,10,764.19,03-02-2019,17:24,Cash,7.3,February
412,585-86-8361,MUMBAI,Normal,Female,Food and beverages,5,143.22,03-02-2019,10:31,Credit card,8.6,February
415,441-94-7118,MUMBAI,Member,Male,Electronic accessories,1,75.5475,04-02-2019,12:14,Cash,7.3,February
417,745-71-3520,MUMBAI,Member,Female,Electronic accessories,7,185.367,04-02-2019,10:23,Cash,8.2,February
420,695-28-6250,MUMBAI,Normal,Female,Sports and travel,5,226.065,04-02-2019,16:38,Ewallet,7.7,February
421,518-17-2983,MUMBAI,Normal,Female,Fashion accessories,4,204.246,04-02-2019,15:44,Ewallet,7.6,February
424,404-91-5964,MUMBAI,Normal,Male,Electronic accessories,7,548.163,04-02-2019,16:09,Credit card,9,February
429,729-09-9681,MUMBAI,Member,Male,Home and lifestyle,6,163.233,05-02-2019,10:16,Ewallet,8.7,February
433,880-35-0356,MUMBAI,Member,Female,Sports and travel,3,236.88,05-02-2019,11:51,Ewallet,4.8,February
434,307-04-2070,MUMBAI,Member,Female,Fashion accessories,1,32.151,05-02-2019,14:14,Credit card,4.1,February
435,325-89-4209,MUMBAI,Member,Male,Food and beverages,1,92.295,05-02-2019,19:42,Ewallet,6.7,February
437,324-92-3863,MUMBAI,Member,Male,Electronic accessories,2,43.869,05-02-2019,18:45,Cash,9.8,February
444,609-81-8548,MUMBAI,Member,Female,Home and lifestyle,6,235.872,06-02-2019,13:55,Credit card,5.9,February
446,258-92-7466,MUMBAI,Normal,Female,Health and beauty,5,187.32,06-02-2019,18:33,Credit card,6.6,February
451,252-56-2699,MUMBAI,Normal,Male,Food and beverages,10,453.495,07-02-2019,16:48,Ewallet,8.2,February
452,635-40-6220,MUMBAI,Normal,Male,Health and beauty,8,752.64,07-02-2019,11:28,Ewallet,6.6,February
460,560-49-6611,MUMBAI,Member,Female,Sports and travel,1,47.859,07-02-2019,14:13,Cash,9.8,February
461,421-95-9805,MUMBAI,Normal,Female,Electronic accessories,1,30.408,07-02-2019,10:18,Credit card,6.2,February
467,453-33-6436,MUMBAI,Normal,Female,Home and lifestyle,8,782.208,07-02-2019,10:09,Cash,6.8,February
471,373-73-7910,MUMBAI,Normal,Male,Sports and travel,7,634.3785,08-02-2019,10:37,Ewallet,5.3,February
475,687-47-8271,MUMBAI,Normal,Male,Fashion accessories,10,1039.29,08-02-2019,16:20,Credit card,8.7,February
480,756-49-0168,MUMBAI,Member,Male,Fashion accessories,1,20.685,08-02-2019,11:39,Ewallet,9.5,February
486,447-15-7839,MUMBAI,Member,Female,Sports and travel,10,233.52,09-02-2019,11:00,Cash,4.2,February
491,146-09-5432,MUMBAI,Member,Male,Food and beverages,9,331.128,09-02-2019,19:17,Ewallet,4.6,February
495,727-02-1313,MUMBAI,Member,Male,Food and beverages,1,33.432,09-02-2019,13:22,Cash,7.7,February
497,162-48-8011,MUMBAI,Member,Female,Food and beverages,5,234.0975,10-02-2019,15:10,Cash,8.5,February
500,685-64-1609,MUMBAI,Member,Female,Fashion accessories,10,316.47,10-02-2019,12:28,Ewallet,9.2,February
501,400-60-7251,MUMBAI,Normal,Male,Home and lifestyle,1,77.7735,10-02-2019,12:50,Ewallet,9.9,February
504,559-98-9873,MUMBAI,Member,Female,Fashion accessories,7,394.3275,10-02-2019,12:56,Ewallet,5.2,February
512,534-53-3526,MUMBAI,Normal,Female,Sports and travel,4,397.992,11-02-2019,16:06,Ewallet,7.8,February
514,531-56-4728,MUMBAI,Normal,Male,Home and lifestyle,3,252.252,11-02-2019,15:29,Cash,5.4,February
515,365-64-0515,MUMBAI,Normal,Female,Electronic accessories,5,246.4875,12-02-2019,10:25,Ewallet,7.1,February
518,287-83-1405,MUMBAI,Normal,Male,Health and beauty,6,160.209,12-02-2019,19:01,Ewallet,7,February
521,373-14-0504,MUMBAI,Member,Female,Sports and travel,2,150.423,12-02-2019,14:33,Ewallet,8.8,February
524,151-16-1484,MUMBAI,Member,Male,Electronic accessories,4,135.45,13-02-2019,12:38,Ewallet,6.5,February
525,563-36-9814,MUMBAI,Member,Male,Electronic accessories,1,80.661,13-02-2019,18:27,Ewallet,7.2,February
532,638-60-7125,MUMBAI,Normal,Female,Electronic accessories,8,836.304,14-02-2019,17:03,Credit card,5.2,February
534,150-89-8043,MUMBAI,Normal,Male,Sports and travel,3,140.6475,14-02-2019,15:04,Cash,6.2,February
537,528-14-9470,MUMBAI,Member,Male,Health and beauty,1,95.865,14-02-2019,14:42,Ewallet,9.2,February
542,136-08-6195,MUMBAI,Normal,Female,Home and lifestyle,8,587.664,15-02-2019,17:01,Credit card,6.4,February
543,372-94-8041,MUMBAI,Normal,Male,Health and beauty,6,96.138,15-02-2019,18:03,Ewallet,9.8,February
550,152-68-2907,MUMBAI,Normal,Male,Food and beverages,3,164.43,15-02-2019,13:30,Credit card,9.5,February
552,305-03-2383,MUMBAI,Normal,Female,Food and beverages,3,211.365,15-02-2019,10:36,Cash,7.5,February
554,497-36-0989,MUMBAI,Normal,Male,Fashion accessories,3,163.611,15-02-2019,15:21,Cash,7.9,February
565,873-14-6353,MUMBAI,Member,Male,Food and beverages,7,182.427,16-02-2019,10:33,Credit card,7.1,February
566,636-48-8204,MUMBAI,Normal,Male,Electronic accessories,5,181.44,17-02-2019,11:15,Ewallet,9.9,February
570,803-17-8013,MUMBAI,Member,Female,Home and lifestyle,8,745.836,17-02-2019,17:09,Cash,4.1,February
571,634-97-8956,MUMBAI,Normal,Male,Food and beverages,3,103.635,17-02-2019,17:27,Credit card,9.1,February
572,612-36-5536,MUMBAI,Member,Male,Food and beverages,8,680.064,17-02-2019,11:12,Credit card,7.4,February
573,827-77-7633,MUMBAI,Normal,Male,Sports and travel,9,926.9505,17-02-2019,19:41,Cash,9.3,February
575,788-21-5741,MUMBAI,Normal,Male,Fashion accessories,3,142.947,17-02-2019,13:34,Credit card,7.2,February
578,131-70-8179,MUMBAI,Member,Female,Health and beauty,3,290.0835,17-02-2019,16:27,Cash,4.2,February
580,354-39-5160,MUMBAI,Member,Female,Home and lifestyle,6,216.846,18-02-2019,15:39,Cash,9.8,February
581,278-97-7759,MUMBAI,Member,Female,Electronic accessories,1,65.604,18-02-2019,20:29,Cash,4.7,February
585,849-09-3807,MUMBAI,Member,Female,Fashion accessories,7,649.299,18-02-2019,13:28,Cash,6.6,February
588,868-06-0466,MUMBAI,Member,Male,Electronic accessories,9,657.531,19-02-2019,19:38,Credit card,7.8,February
592,409-33-9708,MUMBAI,Normal,Female,Fashion accessories,2,206.808,19-02-2019,10:12,Ewallet,9.2,February
593,449-16-6770,MUMBAI,Normal,Male,Health and beauty,5,266.6475,19-02-2019,14:53,Credit card,5.3,February
594,384-59-6655,MUMBAI,Member,Female,Food and beverages,9,932.337,19-02-2019,15:07,Cash,8.4,February
596,782-95-9291,MUMBAI,Member,Male,Food and beverages,5,484.5225,20-02-2019,15:55,Credit card,9,February
599,725-56-0833,MUMBAI,Normal,Female,Health and beauty,10,339.36,20-02-2019,16:49,Credit card,10,February
602,546-80-2899,MUMBAI,Member,Male,Home and lifestyle,2,79.149,20-02-2019,15:29,Ewallet,9.5,February
605,319-74-2561,MUMBAI,Member,Female,Electronic accessories,3,298.116,21-02-2019,16:55,Cash,5.5,February
616,807-14-7833,MUMBAI,Member,Female,Electronic accessories,10,182.91,22-02-2019,12:30,Ewallet,7,February
617,864-24-7918,MUMBAI,Member,Female,Sports and travel,10,257.145,22-02-2019,15:15,Cash,8.1,February
621,347-56-2442,MUMBAI,Normal,Male,Home and lifestyle,1,69.111,22-02-2019,15:33,Cash,4.1,February
628,274-05-5470,MUMBAI,Member,Female,Food and beverages,4,308.574,23-02-2019,18:30,Cash,6,February
636,380-60-5336,MUMBAI,Normal,Female,Electronic accessories,10,422.73,24-02-2019,18:06,Credit card,5,February
637,186-43-8965,MUMBAI,Member,Female,Home and lifestyle,2,100.128,24-02-2019,10:10,Credit card,4.1,February
639,355-53-5943,MUMBAI,Member,Female,Electronic accessories,6,433.692,25-02-2019,14:36,Ewallet,5.8,February
642,275-28-0149,MUMBAI,Normal,Male,Sports and travel,1,66.8745,25-02-2019,16:21,Cash,6,February
645,502-05-1910,MUMBAI,Normal,Male,Health and beauty,3,205.317,25-02-2019,20:35,Credit card,6.3,February
647,719-89-8991,MUMBAI,Member,Female,Sports and travel,5,479.9025,25-02-2019,16:03,Ewallet,7.1,February
648,308-81-0538,MUMBAI,Normal,Female,Fashion accessories,4,306.81,25-02-2019,17:16,Credit card,4.9,February
653,459-45-2396,MUMBAI,Member,Female,Food and beverages,3,313.74,25-02-2019,18:45,Cash,5.8,February
660,491-38-3499,MUMBAI,Member,Male,Fashion accessories,1,58.2225,26-02-2019,17:46,Credit card,4.9,February
662,702-72-0487,MUMBAI,Normal,Female,Electronic accessories,2,97.881,26-02-2019,12:28,Credit card,6.6,February
666,135-84-8019,MUMBAI,Normal,Female,Fashion accessories,9,736.4385,27-02-2019,16:10,Ewallet,7.6,February
672,105-10-6182,MUMBAI,Member,Male,Fashion accessories,2,45.108,27-02-2019,12:22,Ewallet,6.6,February
674,250-17-5703,MUMBAI,Member,Male,Food and beverages,10,197.925,27-02-2019,18:24,Ewallet,5.6,February
676,263-12-5321,MUMBAI,Member,Male,Electronic accessories,7,680.61,27-02-2019,12:52,Credit card,9.3,February
677,243-55-8457,MUMBAI,Normal,Female,Food and beverages,10,781.62,27-02-2019,11:40,Ewallet,5.1,February
681,786-94-2700,MUMBAI,Member,Male,Food and beverages,6,507.906,28-02-2019,20:18,Cash,9.1,February
682,635-28-5728,MUMBAI,Normal,Male,Health and beauty,3,176.4,28-02-2019,19:33,Ewallet,4.8,February
684,631-41-3108,MUMBAI,Normal,Male,Home and lifestyle,7,340.5255,03-03-2019,13:23,Credit card,7.4,March
688,175-54-2529,MUMBAI,Member,Male,Food and beverages,8,186.228,03-03-2019,17:01,Credit card,9.6,March
691,568-88-3448,MUMBAI,Normal,Male,Health and beauty,1,26.25,03-03-2019,15:09,Ewallet,5.5,March
694,610-46-4100,MUMBAI,Normal,Male,Health and beauty,7,212.7825,03-03-2019,20:31,Credit card,6,March
696,651-96-5970,MUMBAI,Normal,Male,Fashion accessories,1,48.7305,03-03-2019,20:06,Credit card,4,March
699,586-25-0848,MUMBAI,Normal,Female,Sports and travel,7,90.699,04-03-2019,11:19,Credit card,6.7,March
700,667-92-0055,MUMBAI,Member,Male,Health and beauty,6,628.929,04-03-2019,15:02,Ewallet,8.5,March
703,256-08-8343,MUMBAI,Normal,Female,Home and lifestyle,4,237.426,04-03-2019,19:48,Ewallet,5.5,March
704,227-50-3718,MUMBAI,Normal,Male,Health and beauty,5,76.755,04-03-2019,12:23,Cash,4.4,March
705,689-05-1884,MUMBAI,Member,Male,Health and beauty,10,510.615,04-03-2019,12:44,Cash,8.8,March
706,759-29-9521,MUMBAI,Member,Female,Fashion accessories,9,462.672,04-03-2019,11:27,Cash,8,March
707,276-75-6884,MUMBAI,Normal,Female,Health and beauty,3,216.4365,04-03-2019,10:05,Cash,8.7,March
708,558-60-5016,MUMBAI,Normal,Female,Home and lifestyle,9,314.685,04-03-2019,15:27,Ewallet,7.2,March
709,221-25-5073,MUMBAI,Normal,Female,Food and beverages,4,313.572,04-03-2019,10:39,Cash,8.5,March
718,848-42-2560,MUMBAI,Normal,Female,Fashion accessories,2,172.011,05-03-2019,17:43,Cash,7.8,March
723,655-07-2265,MUMBAI,Normal,Male,Electronic accessories,3,246.6765,05-03-2019,16:38,Ewallet,5.4,March
727,199-75-8169,MUMBAI,Member,Male,Sports and travel,10,166.005,06-03-2019,12:27,Credit card,8.6,March
728,802-70-5316,MUMBAI,Member,Female,Sports and travel,6,580.419,06-03-2019,20:34,Cash,8.3,March
733,254-31-0042,MUMBAI,Member,Male,Electronic accessories,9,203.175,06-03-2019,12:46,Credit card,7.8,March
