S.NO.,Invoice ID,City,Customer type,Gender,Product line,Quantity,Total,DATE,TIME,Payment,Rating,Month
77,442-44-6497,BANGALORE,Member,Male,Home and lifestyle,3,175.0455,08-01-2019,11:42,Credit card,5.9,January
80,845-94-6841,BANGALORE,Member,Female,Food and beverages,9,688.716,08-01-2019,19:38,Cash,4,January
83,631-34-1880,BANGALORE,Member,Male,Food and beverages,3,76.5765,08-01-2019,19:09,Credit card,4.3,January
85,263-10-3913,BANGALORE,Member,Male,Fashion accessories,9,463.428,09-01-2019,14:20,Credit card,8.6,January
86,554-42-2417,BANGALORE,Normal,Female,Sports and travel,10,1002.12,09-01-2019,13:45,Cash,5.2,January
87,370-96-0655,BANGALORE,Normal,Female,Fashion accessories,6,310.716,09-01-2019,13:46,Ewallet,7.1,January
91,867-47-1948,BANGALORE,Normal,Female,Home and lifestyle,10,165.9,09-01-2019,12:07,Cash,7.8,January
92,189-40-5216,BANGALORE,Normal,Male,Electronic accessories,7,708.3195,09-01-2019,11:40,Cash,6,January
97,603-07-0961,BANGALORE,Member,Male,Electronic accessories,5,392.6475,10-01-2019,11:34,Cash,4.9,January
99,887-42-0517,BANGALORE,Normal,Female,Sports and travel,7,611.079,10-01-2019,10:31,Credit card,6.6,January
101,577-34-7579,BANGALORE,Member,Male,Food and beverages,9,477.1305,10-01-2019,17:16,Cash,5.4,January
102,746-68-6593,BANGALORE,Member,Female,Sports and travel,2,183.036,11-01-2019,14:29,Credit card,9.7,January
108,592-46-1692,BANGALORE,Member,Female,Food and beverages,7,270.2595,11-01-2019,20:10,Cash,7.4,January
112,659-36-1684,BANGALORE,Member,Male,Sports and travel,7,419.832,12-01-2019,12:02,Credit card,6.5,January
117,751-41-9720,BANGALORE,Normal,Male,Home and lifestyle,10,1023.75,12-01-2019,16:18,Ewallet,8,January
121,732-94-0499,BANGALORE,Normal,Female,Electronic accessories,10,437.325,13-01-2019,17:04,Credit card,5.4,January
122,556-86-3144,BANGALORE,Member,Female,Fashion accessories,1,78.0045,13-01-2019,19:30,Cash,5,January
129,784-08-0310,BANGALORE,Member,Female,Food and beverages,4,88.368,13-01-2019,13:58,Cash,7.6,January
131,426-39-2418,BANGALORE,Normal,Male,Electronic accessories,7,451.3635,14-01-2019,10:02,Cash,9.8,January
135,592-34-6155,BANGALORE,Normal,Male,Food and beverages,4,133.434,14-01-2019,14:43,Ewallet,6.2,January
139,451-73-2711,BANGALORE,Normal,Male,Food and beverages,1,89.0715,14-01-2019,15:20,Ewallet,8.8,January
140,704-10-4056,BANGALORE,Member,Male,Health and beauty,3,190.4805,14-01-2019,10:55,Credit card,5.6,January
142,658-66-3967,BANGALORE,Normal,Male,Health and beauty,7,390.9465,14-01-2019,15:42,Ewallet,5,January
143,377-79-7592,BANGALORE,Member,Female,Electronic accessories,9,423.738,14-01-2019,14:00,Credit card,7.5,January
147,450-28-2866,BANGALORE,Member,Male,Food and beverages,5,91.56,15-01-2019,19:25,Cash,8.1,January
153,314-23-4520,BANGALORE,Member,Male,Health and beauty,7,597.0405,15-01-2019,20:44,Cash,9,January
156,660-29-7083,BANGALORE,Normal,Male,Electronic accessories,10,586.635,15-01-2019,15:01,Cash,5.8,January
158,234-65-2137,BANGALORE,Normal,Male,Home and lifestyle,10,1003.59,16-01-2019,13:32,Cash,4.8,January
159,677-11-0152,BANGALORE,Normal,Female,Food and beverages,9,881.307,16-01-2019,18:08,Cash,8.8,January
162,859-71-0933,BANGALORE,Member,Female,Sports and travel,2,32.529,16-01-2019,15:10,Cash,6.3,January
163,842-29-4695,BANGALORE,Member,Male,Sports and travel,7,125.979,16-01-2019,12:07,Credit card,7.9,January
165,372-62-5264,BANGALORE,Normal,Female,Food and beverages,9,497.07,16-01-2019,14:42,Cash,7.6,January
169,600-38-9738,BANGALORE,Member,Male,Sports and travel,5,377.58,17-01-2019,15:05,Credit card,4.3,January
175,200-16-5952,BANGALORE,Member,Male,Food and beverages,2,137.865,17-01-2019,16:46,Cash,6,January
177,101-81-4070,BANGALORE,Member,Female,Health and beauty,2,131.922,17-01-2019,12:36,Ewallet,4.9,January
180,622-20-1945,BANGALORE,Normal,Female,Health and beauty,1,41.391,18-01-2019,15:08,Cash,8.4,January
184,678-79-0726,BANGALORE,Member,Female,Sports and travel,9,856.4535,18-01-2019,15:28,Cash,5.1,January
186,781-84-8059,BANGALORE,Normal,Male,Fashion accessories,7,446.439,18-01-2019,16:23,Ewallet,5,January
188,894-41-5205,BANGALORE,Normal,Female,Food and beverages,8,362.712,19-01-2019,19:39,Credit card,8.3,January
191,779-06-0012,BANGALORE,Member,Female,Home and lifestyle,1,93.0405,19-01-2019,10:21,Cash,7.7,January
194,284-54-4231,BANGALORE,Member,Male,Sports and travel,1,84.9765,19-01-2019,16:08,Credit card,9,January
200,151-27-8496,BANGALORE,Normal,Female,Electronic accessories,4,235.746,19-01-2019,11:43,Ewallet,8.6,January
202,728-47-9078,BANGALORE,Member,Male,Food and beverages,4,250.278,19-01-2019,12:46,Cash,9.8,January
206,725-96-3778,BANGALORE,Member,Female,Home and lifestyle,8,749.7,20-01-2019,10:13,Cash,4.7,January
207,257-73-1380,BANGALORE,Member,Male,Sports and travel,4,348.306,20-01-2019,16:51,Ewallet,9.6,January
209,760-27-5490,BANGALORE,Normal,Male,Fashion accessories,8,131.208,20-01-2019,20:37,Ewallet,9.1,January
212,458-10-8612,BANGALORE,Normal,Male,Health and beauty,7,470.988,20-01-2019,12:27,Ewallet,7.6,January
214,870-72-4431,BANGALORE,Normal,Female,Health and beauty,6,624.897,21-01-2019,14:42,Credit card,5.5,January
220,162-65-8559,BANGALORE,Member,Male,Food and beverages,1,72.429,21-01-2019,20:13,Cash,4.8,January
222,756-01-7507,BANGALORE,Normal,Female,Health and beauty,5,106.995,22-01-2019,18:56,Cash,6,January
223,186-09-3669,BANGALORE,Member,Female,Health and beauty,1,85.5855,22-01-2019,10:57,Ewallet,9.2,January
224,521-18-7827,BANGALORE,Member,Male,Home and lifestyle,5,206.7975,22-01-2019,20:46,Credit card,8.7,January
228,480-63-2856,BANGALORE,Normal,Male,Food and beverages,8,161.7,23-01-2019,18:37,Ewallet,6.6,January
229,565-80-5980,BANGALORE,Member,Female,Home and lifestyle,4,198.996,23-01-2019,10:25,Cash,7.1,January
230,731-81-9469,BANGALORE,Member,Female,Sports and travel,10,942.9,23-01-2019,13:00,Credit card,5.4,January
231,434-83-9547,BANGALORE,Member,Male,Food and beverages,8,323.148,23-01-2019,11:51,Cash,7.7,January
233,740-22-2500,BANGALORE,Normal,Female,Electronic accessories,3,264.7575,23-01-2019,13:29,Cash,9.8,January
234,767-05-1286,BANGALORE,Member,Female,Home and lifestyle,6,527.751,23-01-2019,12:10,Ewallet,5.4,January
236,219-61-4139,BANGALORE,Normal,Male,Electronic accessories,1,87.234,23-01-2019,17:16,Ewallet,6.4,January
239,790-38-4466,BANGALORE,Normal,Female,Health and beauty,5,57.6975,23-01-2019,10:18,Credit card,9.3,January
240,477-59-2456,BANGALORE,Normal,Female,Fashion accessories,7,333.984,23-01-2019,11:15,Cash,9.2,January
244,148-41-7930,BANGALORE,Normal,Male,Health and beauty,7,734.706,23-01-2019,10:33,Cash,6.1,January
253,443-60-9639,BANGALORE,Member,Female,Home and lifestyle,1,63.9135,24-01-2019,13:24,Cash,5.5,January
256,235-06-8510,BANGALORE,Member,Male,Home and lifestyle,3,270.018,24-01-2019,20:59,Ewallet,5.1,January
259,778-71-5554,BANGALORE,Member,Male,Fashion accessories,1,16.2015,25-01-2019,15:46,Credit card,6.1,January
261,280-17-4359,BANGALORE,Member,Male,Health and beauty,10,950.25,25-01-2019,13:48,Cash,8.1,January
262,824-88-3614,BANGALORE,Normal,Male,Health and beauty,8,288.204,25-01-2019,15:00,Ewallet,5.7,January
272,394-55-6384,BANGALORE,Member,Female,Sports and travel,9,663.2955,25-01-2019,13:38,Cash,6.7,January
273,288-38-3758,BANGALORE,Member,Female,Fashion accessories,3,267.3405,25-01-2019,18:30,Ewallet,7.4,January
276,225-32-0908,BANGALORE,Normal,Female,Sports and travel,10,471.03,26-01-2019,19:54,Ewallet,8.2,January
284,258-69-7810,BANGALORE,Normal,Female,Fashion accessories,5,193.4625,26-01-2019,18:53,Cash,9.2,January
285,881-41-7302,BANGALORE,Normal,Female,Fashion accessories,1,68.2395,26-01-2019,10:06,Credit card,4.5,January
289,176-78-1170,BANGALORE,Member,Male,Health and beauty,3,106.5015,26-01-2019,15:11,Ewallet,7.3,January
295,613-59-9758,BANGALORE,Normal,Female,Sports and travel,10,150.78,27-01-2019,14:28,Cash,5.4,January
296,394-41-0748,BANGALORE,Member,Female,Fashion accessories,9,510.9615,27-01-2019,14:55,Ewallet,9.5,January
297,325-90-8763,BANGALORE,Member,Female,Electronic accessories,10,488.985,27-01-2019,13:58,Cash,7.6,January
298,862-59-8517,BANGALORE,Normal,Female,Food and beverages,6,568.512,27-01-2019,11:17,Cash,6.2,January
299,620-02-2046,BANGALORE,Normal,Male,Home and lifestyle,2,145.74,27-01-2019,19:48,Ewallet,9,January
302,788-07-8452,BANGALORE,Member,Female,Home and lifestyle,7,178.164,27-01-2019,17:38,Ewallet,9.4,January
307,400-89-4171,BANGALORE,Normal,Female,Sports and travel,8,680.148,28-01-2019,13:05,Cash,9.3,January
308,342-65-4817,BANGALORE,Member,Male,Health and beauty,3,273.42,28-01-2019,16:47,Ewallet,9.9,January
309,593-65-1552,BANGALORE,Normal,Female,Home and lifestyle,4,293.202,28-01-2019,20:50,Credit card,5.9,January
310,211-30-9270,BANGALORE,Normal,Male,Health and beauty,5,91.4025,28-01-2019,15:16,Credit card,4.9,January
311,372-26-1506,BANGALORE,Normal,Female,Fashion accessories,5,125.055,28-01-2019,19:24,Ewallet,5.4,January
314,243-47-2663,BANGALORE,Member,Male,Electronic accessories,6,118.251,28-01-2019,16:43,Credit card,5.5,January
321,606-80-4905,BANGALORE,Member,Female,Sports and travel,6,120.645,29-01-2019,10:01,Credit card,6.8,January
323,382-25-8917,BANGALORE,Normal,Male,Fashion accessories,6,265.104,29-01-2019,12:25,Cash,8.9,January
329,137-63-5492,BANGALORE,Normal,Male,Electronic accessories,10,616.98,29-01-2019,14:26,Ewallet,9,January
331,233-67-5758,BANGALORE,Normal,Male,Health and beauty,1,42.3675,29-01-2019,13:46,Ewallet,6.2,January
332,423-80-0988,BANGALORE,Normal,Male,Sports and travel,2,160.44,30-01-2019,19:42,Ewallet,6.5,January
333,416-13-5917,BANGALORE,Normal,Female,Food and beverages,5,509.4075,30-01-2019,16:24,Ewallet,9.3,January
335,556-72-8512,BANGALORE,Normal,Male,Home and lifestyle,1,24.108,30-01-2019,20:47,Cash,4.3,January
336,283-26-5248,BANGALORE,Member,Female,Food and beverages,10,1034.46,30-01-2019,20:23,Ewallet,4.5,January
338,664-14-2882,BANGALORE,Member,Female,Home and lifestyle,5,55.2825,30-01-2019,14:43,Credit card,5.8,January
340,862-29-5914,BANGALORE,Normal,Female,Sports and travel,1,23.499,30-01-2019,17:08,Credit card,8.6,January
342,583-72-1480,BANGALORE,Member,Male,Electronic accessories,4,155.652,31-01-2019,16:24,Ewallet,9.7,January
344,226-71-3580,BANGALORE,Normal,Female,Sports and travel,9,224.4375,31-01-2019,12:02,Cash,9.5,January
350,735-32-9839,BANGALORE,Member,Male,Fashion accessories,8,829.08,31-01-2019,10:36,Ewallet,8.5,January
353,189-55-2313,BANGALORE,Normal,Female,Fashion accessories,10,652.89,31-01-2019,10:33,Ewallet,6,January
355,551-21-3069,BANGALORE,Normal,Female,Electronic accessories,9,218.0115,01-02-2019,11:27,Cash,4.9,February
356,237-01-6122,BANGALORE,Member,Female,Home and lifestyle,9,763.4655,01-02-2019,20:31,Credit card,9.5,February
359,358-88-9262,BANGALORE,Member,Female,Food and beverages,6,551.124,01-02-2019,18:43,Ewallet,5.1,February
362,446-47-6729,BANGALORE,Normal,Male,Fashion accessories,2,209.622,01-02-2019,18:09,Credit card,6.7,February
367,345-68-9016,BANGALORE,Member,Female,Sports and travel,8,266.028,01-02-2019,16:19,Credit card,5.6,February
369,554-53-8700,BANGALORE,Member,Male,Home and lifestyle,2,117.831,02-02-2019,10:11,Cash,6.3,February
374,376-56-3573,BANGALORE,Normal,Female,Fashion accessories,4,400.764,02-02-2019,13:23,Ewallet,6.4,February
377,541-08-3113,BANGALORE,Normal,Male,Food and beverages,8,554.148,02-02-2019,20:29,Cash,8.4,February
380,390-17-5806,BANGALORE,Member,Female,Food and beverages,1,40.341,02-02-2019,16:33,Cash,8.6,February
381,717-96-4189,BANGALORE,Normal,Female,Electronic accessories,6,223.587,02-02-2019,12:40,Cash,4.1,February
382,756-93-1854,BANGALORE,Member,Female,Fashion accessories,2,175.035,02-02-2019,14:05,Credit card,9.5,February
384,225-98-1496,BANGALORE,Normal,Female,Fashion accessories,3,85.113,03-02-2019,13:01,Credit card,7.1,February
387,883-17-4236,BANGALORE,Normal,Female,Sports and travel,2,30.219,03-02-2019,19:44,Credit card,7.2,February
389,878-30-2331,BANGALORE,Member,Female,Sports and travel,10,572.775,03-02-2019,11:22,Credit card,7.1,February
390,408-26-9866,BANGALORE,Normal,Female,Sports and travel,7,543.753,03-02-2019,16:42,Ewallet,4.1,February
394,607-76-6216,BANGALORE,Member,Female,Fashion accessories,5,485.5725,03-02-2019,16:35,Credit card,8.6,February
395,725-54-0677,BANGALORE,Member,Male,Health and beauty,7,629.16,03-02-2019,13:50,Cash,5.3,February
401,326-78-5178,BANGALORE,Member,Male,Food and beverages,7,671.79,03-02-2019,10:19,Cash,9.5,February
405,639-76-1242,BANGALORE,Normal,Male,Food and beverages,5,212.73,03-02-2019,15:19,Cash,4.5,February
406,326-71-2155,BANGALORE,Normal,Female,Sports and travel,4,310.59,03-02-2019,10:02,Cash,6.1,February
408,718-57-9773,BANGALORE,Normal,Female,Sports and travel,10,517.965,03-02-2019,16:40,Credit card,9.4,February
416,236-86-3015,BANGALORE,Member,Male,Home and lifestyle,1,14.679,04-02-2019,13:38,Ewallet,9.8,February
422,268-20-3585,BANGALORE,Normal,Female,Health and beauty,9,130.8825,04-02-2019,12:50,Ewallet,6,February
427,210-67-5886,BANGALORE,Member,Female,Health and beauty,3,309.3615,05-02-2019,10:41,Credit card,7.8,February
428,338-65-2210,BANGALORE,Member,Female,Health and beauty,10,720.3,05-02-2019,19:57,Cash,9.1,February
430,181-94-6432,BANGALORE,Member,Male,Fashion accessories,2,145.593,05-02-2019,19:05,Ewallet,9.7,February
436,409-49-6995,BANGALORE,Member,Female,Food and beverages,6,297.801,05-02-2019,10:17,Cash,8.8,February
439,183-56-6882,BANGALORE,Member,Female,Food and beverages,4,417.564,06-02-2019,10:42,Ewallet,7.5,February
441,512-91-0811,BANGALORE,Normal,Male,Health and beauty,1,94.2375,06-02-2019,20:05,Credit card,6.6,February
443,595-86-2894,BANGALORE,Member,Male,Fashion accessories,4,407.316,06-02-2019,17:20,Ewallet,9.4,February
447,149-14-0304,BANGALORE,Member,Female,Health and beauty,8,239.4,06-02-2019,14:24,Cash,6.6,February
448,471-06-8611,BANGALORE,Normal,Female,Food and beverages,1,55.041,06-02-2019,10:22,Credit card,6.3,February
450,373-88-1424,BANGALORE,Member,Male,Home and lifestyle,5,188.0025,06-02-2019,18:44,Ewallet,7.9,February
453,214-17-6927,BANGALORE,Normal,Female,Food and beverages,6,103.824,07-02-2019,18:23,Ewallet,9.9,February
454,380-94-4661,BANGALORE,Member,Male,Electronic accessories,4,276.948,07-02-2019,13:05,Credit card,6.9,February
456,810-60-6344,BANGALORE,Normal,Female,Electronic accessories,8,343.224,07-02-2019,14:38,Credit card,6.5,February
459,583-41-4548,BANGALORE,Normal,Male,Home and lifestyle,7,122.5245,07-02-2019,11:36,Ewallet,7.4,February
462,641-96-3695,BANGALORE,Member,Female,Fashion accessories,6,273.798,07-02-2019,17:55,Ewallet,8.5,February
463,648-94-3045,BANGALORE,Normal,Male,Health and beauty,10,618.975,07-02-2019,14:27,Ewallet,8.1,February
464,626-43-7888,BANGALORE,Normal,Female,Fashion accessories,8,507.444,07-02-2019,12:23,Ewallet,9.6,February
465,784-21-9238,BANGALORE,Member,Male,Sports and travel,1,10.6785,07-02-2019,14:15,Cash,5.9,February
469,744-82-9138,BANGALORE,Normal,Male,Fashion accessories,2,180.873,07-02-2019,17:59,Cash,8.2,February
477,271-88-8734,BANGALORE,Member,Female,Fashion accessories,10,1020.705,08-02-2019,13:00,Credit card,8.7,February
478,440-59-5691,BANGALORE,Member,Female,Health and beauty,7,273.0525,08-02-2019,13:12,Credit card,7.7,February
481,815-04-6282,BANGALORE,Member,Female,Sports and travel,5,341.0925,08-02-2019,12:52,Credit card,6.5,February
483,871-39-9221,BANGALORE,Normal,Female,Electronic accessories,6,78.435,09-02-2019,13:11,Cash,4.1,February
484,130-98-8941,BANGALORE,Normal,Male,Fashion accessories,7,472.311,09-02-2019,10:00,Cash,5.7,February
487,428-83-5800,BANGALORE,Member,Female,Food and beverages,3,66.402,09-02-2019,10:25,Cash,7.3,February
488,746-19-0921,BANGALORE,Normal,Male,Food and beverages,1,22.659,09-02-2019,10:02,Ewallet,7.2,February
489,602-80-9671,BANGALORE,Member,Female,Home and lifestyle,6,100.485,09-02-2019,17:15,Credit card,5.1,February
493,450-42-3339,BANGALORE,Normal,Male,Health and beauty,10,888.405,09-02-2019,18:58,Credit card,8.8,February
498,838-78-4295,BANGALORE,Normal,Female,Health and beauty,2,70.287,10-02-2019,15:43,Ewallet,6.7,February
502,227-07-4446,BANGALORE,Member,Female,Electronic accessories,10,820.365,10-02-2019,20:51,Cash,4.4,February
505,196-01-2849,BANGALORE,Member,Female,Fashion accessories,7,539.343,10-02-2019,13:56,Cash,9.5,February
507,796-12-2025,BANGALORE,Normal,Male,Fashion accessories,10,652.26,11-02-2019,16:19,Cash,5.9,February
510,866-99-7614,BANGALORE,Normal,Male,Food and beverages,10,936.6,11-02-2019,15:42,Credit card,4.4,February
513,401-09-4232,BANGALORE,Member,Male,Home and lifestyle,5,455.1225,11-02-2019,18:38,Ewallet,9.4,February
519,641-51-2661,BANGALORE,Member,Female,Food and beverages,10,914.55,12-02-2019,14:45,Credit card,9.9,February
522,885-56-0389,BANGALORE,Member,Male,Fashion accessories,1,54.9675,12-02-2019,17:49,Cash,4,February
523,139-52-2867,BANGALORE,Normal,Female,Fashion accessories,7,165.4485,13-02-2019,10:50,Credit card,4.8,February
528,339-18-7061,BANGALORE,Member,Female,Fashion accessories,2,195.258,13-02-2019,15:06,Credit card,8,February
530,549-23-9016,BANGALORE,Member,Female,Food and beverages,2,31.227,13-02-2019,18:15,Credit card,8.9,February
533,174-36-3675,BANGALORE,Member,Male,Food and beverages,2,208.677,14-02-2019,17:29,Cash,5.2,February
535,235-46-8343,BANGALORE,Member,Male,Food and beverages,10,290.43,14-02-2019,11:26,Credit card,8.9,February
538,545-07-8534,BANGALORE,Normal,Female,Health and beauty,2,122.472,14-02-2019,12:42,Ewallet,6,February
539,285-68-5083,BANGALORE,Member,Female,Sports and travel,3,77.931,15-02-2019,17:47,Credit card,10,February
545,860-79-0874,BANGALORE,Member,Female,Fashion accessories,10,1042.65,15-02-2019,14:53,Credit card,6.6,February
546,541-89-9860,BANGALORE,Member,Female,Fashion accessories,3,253.512,15-02-2019,12:31,Cash,8.1,February
548,233-34-0817,BANGALORE,Member,Female,Electronic accessories,1,103.782,15-02-2019,11:21,Cash,8.4,February
549,246-11-3901,BANGALORE,Normal,Female,Electronic accessories,10,344.4,15-02-2019,12:12,Cash,6.2,February
551,556-41-6224,BANGALORE,Normal,Male,Health and beauty,8,282.576,15-02-2019,17:10,Credit card,9.3,February
553,400-80-4065,BANGALORE,Member,Male,Health and beauty,4,287.91,15-02-2019,20:21,Credit card,9.2,February
559,587-03-7455,BANGALORE,Member,Female,Fashion accessories,7,718.7565,16-02-2019,17:30,Ewallet,4.9,February
561,273-84-2164,BANGALORE,Member,Male,Electronic accessories,5,63.2625,16-02-2019,15:53,Ewallet,5.5,February
563,408-66-6712,BANGALORE,Member,Female,Health and beauty,6,300.573,16-02-2019,14:19,Ewallet,4.4,February
568,420-11-4919,BANGALORE,Member,Female,Food and beverages,5,374.7975,17-02-2019,19:57,Credit card,5.5,February
569,389-25-3394,BANGALORE,Normal,Male,Electronic accessories,5,62.0025,17-02-2019,18:06,Cash,9.4,February
574,123-35-4896,BANGALORE,Normal,Female,Sports and travel,9,440.937,17-02-2019,19:11,Ewallet,5.3,February
577,201-63-8275,BANGALORE,Member,Female,Sports and travel,7,499.7265,17-02-2019,16:50,Ewallet,5.7,February
579,597-78-7908,BANGALORE,Normal,Male,Fashion accessories,3,284.193,18-02-2019,19:39,Cash,6.2,February
582,787-15-1757,BANGALORE,Member,Male,Health and beauty,4,185.094,18-02-2019,16:28,Ewallet,8.4,February
584,652-49-6720,BANGALORE,Member,Female,Electronic accessories,1,63.9975,18-02-2019,11:40,Ewallet,5.9,February
586,272-27-9238,BANGALORE,Normal,Female,Food and beverages,4,173.208,19-02-2019,16:23,Cash,7.1,February
589,183-21-3799,BANGALORE,Normal,Female,Electronic accessories,9,733.6035,19-02-2019,15:14,Ewallet,7.2,February
590,629-42-4133,BANGALORE,Normal,Male,Health and beauty,8,183.12,19-02-2019,19:24,Cash,8.3,February
591,886-77-9084,BANGALORE,Normal,Male,Electronic accessories,8,603.876,19-02-2019,11:33,Ewallet,5.5,February
603,848-95-6252,BANGALORE,Member,Female,Home and lifestyle,1,90.5835,20-02-2019,13:24,Ewallet,7,February
606,279-62-1445,BANGALORE,Member,Female,Fashion accessories,1,13.167,21-02-2019,12:38,Cash,8.2,February
608,714-02-3114,BANGALORE,Normal,Female,Sports and travel,2,207.48,21-02-2019,11:39,Cash,7.7,February
609,389-70-2397,BANGALORE,Normal,Female,Health and beauty,5,439.215,21-02-2019,10:26,Cash,7.2,February
611,488-25-4221,BANGALORE,Member,Female,Food and beverages,1,31.9305,22-02-2019,10:36,Credit card,8.4,February
612,743-88-1662,BANGALORE,Normal,Male,Sports and travel,7,701.8515,22-02-2019,18:17,Ewallet,8.7,February
619,838-02-1821,BANGALORE,Member,Female,Home and lifestyle,2,26.733,22-02-2019,12:10,Credit card,5.2,February
622,787-56-0757,BANGALORE,Member,Female,Food and beverages,4,337.512,23-02-2019,18:45,Credit card,8.3,February
624,729-46-7422,BANGALORE,Normal,Male,Food and beverages,1,37.6845,23-02-2019,16:52,Credit card,7.9,February
625,503-07-0930,BANGALORE,Member,Male,Sports and travel,7,429.1665,23-02-2019,19:49,Credit card,8.2,February
630,315-22-5665,BANGALORE,Normal,Female,Home and lifestyle,10,772.38,24-02-2019,11:38,Ewallet,8,February
631,803-83-5989,BANGALORE,Normal,Male,Home and lifestyle,6,351.099,24-02-2019,10:55,Ewallet,7,February
633,740-11-5257,BANGALORE,Normal,Male,Electronic accessories,10,259.77,24-02-2019,16:44,Cash,7.1,February
635,516-77-6464,BANGALORE,Member,Female,Health and beauty,5,53.34,24-02-2019,13:08,Ewallet,4.1,February
640,300-71-4605,BANGALORE,Member,Male,Electronic accessories,5,451.71,25-02-2019,11:24,Ewallet,4.8,February
644,735-06-4124,BANGALORE,Normal,Male,Food and beverages,1,51.0405,25-02-2019,15:31,Cash,4.4,February
658,649-11-3678,BANGALORE,Normal,Female,Food and beverages,9,216.6885,26-02-2019,20:26,Cash,5.5,February
668,605-72-4132,BANGALORE,Normal,Female,Food and beverages,8,793.548,27-02-2019,15:12,Cash,9.1,February
671,250-81-7186,BANGALORE,Normal,Female,Electronic accessories,1,104.6745,27-02-2019,10:23,Credit card,8,February
675,759-98-4285,BANGALORE,Member,Female,Health and beauty,7,631.1445,27-02-2019,19:01,Credit card,8,February
678,399-46-5918,BANGALORE,Normal,Female,Electronic accessories,8,722.232,28-02-2019,19:01,Cash,8.2,February
679,142-72-4741,BANGALORE,Member,Male,Fashion accessories,2,195.72,28-02-2019,18:37,Credit card,6,February
686,861-77-0145,BANGALORE,Member,Male,Electronic accessories,10,860.685,03-03-2019,14:30,Cash,9.2,March
687,733-33-4967,BANGALORE,Normal,Male,Electronic accessories,8,175.14,03-03-2019,19:17,Cash,6.3,March
690,211-05-0490,BANGALORE,Member,Female,Electronic accessories,5,272.58,03-03-2019,13:42,Cash,7.5,March
693,302-15-2162,BANGALORE,Member,Male,Health and beauty,6,293.139,03-03-2019,10:54,Credit card,4.3,March
695,468-99-7231,BANGALORE,Normal,Female,Home and lifestyle,8,369.684,03-03-2019,17:36,Cash,8.8,March
697,324-41-6833,BANGALORE,Member,Female,Electronic accessories,8,253.68,03-03-2019,19:30,Ewallet,5.1,March
698,228-96-1411,BANGALORE,Member,Female,Food and beverages,8,829.08,04-03-2019,20:39,Cash,7.6,March
701,320-49-6392,BANGALORE,Normal,Female,Electronic accessories,1,31.752,04-03-2019,15:44,Cash,8.4,March
712,829-49-1914,BANGALORE,Member,Female,Food and beverages,10,822.255,05-03-2019,16:24,Ewallet,6.6,March
